"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-01","0.05",",,S","86",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-02","0.02",",,S","89",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-03","0.00",",,S","96",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-04","0.00",",,S","101",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-05","0.00",",,S","100",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-06","0.00",",,S","101",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-07","1.18","B,,S","93",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-08","0.00",",,S","102",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-09","0.00",",,S","105",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-10","0.00",",,S","106",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-11","0.12","B,,S","97",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-12","0.00",",,S","102",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-13","0.00",",,S","105",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-14","0.08",",,S","101",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-15","0.00",",,S","89",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-16","0.05",",,S","98",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-17","0.00",",,S","101",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-18","0.00",",,S",,
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-19","0.18",",,S","101",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-20","0.00",",,S","104",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-21","0.00",",,S","103",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-22","0.00",",,S","106",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-23","0.00",",,S","107",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-24",,,,
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-25","0.00",",,S","104",",,S"
"PK000041640","LAHORE CITY, PK","31.55","74.333","215.0","2023-06-26","6.37",",,S",,
